a1sCodeSect;a1dBasinArea;a1dMask;a1dLat;a1dLon;a1dYgrid;a1dXgrid;a1sDescSect;a1sBasin;a1sRatingCurve;a1dQpresogl;a1dQguard;a1dQesond;a1dQAmax;a1dQ2;a1dQ2_9;a1dQ5;a1dQ10;a1dQ20;a1dQ30;a1dQ50;a1dQ100;a1dQ200;a1sCodeIdr;a1dLatIdr;a1dLonIdr;a1dHZeroIdr;a1dYpresogl;a1dYguard;a1dYesond;a1dDt
SORI00;13;1;44.37178;9.10341;287;633;Sori foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;46;58;74;103;141;167;200;244;289;NA;NA;NA;NA;NA;NA;NA;NA
STRL00;15;1;44.39625;8.98468;297;594;Sturla foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;51;64;82;114;156;184;221;270;319;GSTUR;44.39625;8.98468;NA;1.2;1.5;2.4;15
STSGIU;12;3;44.41582;8.48252;309;410;Sansobbia a Stella S. Giustina;Sansobbia - Teiro;no;NA;NA;NA;NA;36;45;58;81;111;131;156;192;226;SSGIU;44.41582;8.48252;338.55;1.8;2;2.7;15
STUR00;126;3;44.35401;9.34767;280;722;Sturla a Carasco;Entella;no;225;300;460;300;270;337;435;602;829;977;1169;1432;1692;NA;NA;NA;NA;NA;NA;NA;NA
STUVIG;97;4;44.38149;9.3738;292;732;Sturla a Vignolo;Entella;si;158;210;330;210;218;273;352;487;671;791;946;1159;1369;VIGNO;44.38149;9.3738;66.02;2.7;3.2;4.1;15
TANA00;50;1;44.12388;7.81422;167;166;Tanarello confine;tra Argentina e Impero;no;NA;NA;NA;NA;70;88;114;157;216;255;305;374;442;NA;NA;NA;NA;NA;NA;NA;NA
TANAPN;135;8;44.1186;7.8686;165;188;Tanaro a Ponte di Nava;tra Argentina e Impero;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TEGLIA;293;NA;44.3355;9.9097;272;924;Magra a valle confluenza Teglia;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TEIR00;28;1;44.35904;8.57779;280;444;Teiro foce;Sansobbia - Teiro;no;NA;NA;NA;NA;68;85;110;152;209;246;295;361;427;NA;NA;NA;NA;NA;NA;NA;NA
TIGLIE;75;1;44.52561;8.60839;361;455;Orba a Tiglieto;Erro - Orba;si;NA;NA;NA;NA;154;192;248;344;473;558;668;818;966;TIGLT;44.52561;8.60839;377.79;3.3;3.5;4.5;30
TORRIB;147;NA;43.83782;7.55404;130;77;Bevera a Torri;Roja;si;NA;160;242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TORRI;43.83782;7.55404;59.1;2;2.5;3.5;15
TREB00;145;1;44.60526;9.30419;400;707;Trebbia confine;Trebbia - Aveto;no;NA;NA;NA;NA;228;285;368;510;702;828;990;1213;1433;NA;NA;NA;NA;NA;NA;NA;NA
TREB01;41;3;44.52555;9.25026;362;688;Trebbia a Montebruno;Trebbia - Aveto;no;184;NA;NA;245;83;104;134;185;255;300;359;440;520;NA;NA;NA;NA;NA;NA;NA;NA
TREFON;7;5;44.50278;9.03114;351;608;Lationa a Trefontane;Stura - Scrivia;no;45;NA;NA;60;25;31;40;55;75;89;106;130;154;NA;NA;NA;NA;NA;NA;NA;NA
TREVAL;188;8;44.64024;9.33028;416;716;Trebbia a Valsigiara;Trebbia - Aveto;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TVRONE;609;NA;44.217;9.9634;217;948;Magra a valle confluenza Taverone;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
USURAN;544;NA;44.19728;9.82666;207;895;Vara a valle confluenza Usurana;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VARA00;42;1;44.11215;8.24512;163;325;Varatello foce;tra Centa e Quiliano;no;NA;NA;NA;NA;91;114;147;203;280;330;394;483;571;NA;NA;NA;NA;NA;NA;NA;NA
VARPEG;21;1;44.43671;8.82023;316;532;Varenna a Granara;Varenna - Polcevera;no;NA;NA;NA;NA;67;83;108;149;205;242;289;354;419;VAREN;44.43671;8.82023;NA;2;2.5;3.5;15
VCRO00;22;1;43.78351;7.64041;3;104;Vallecrosia foce;tra Nervia e Argentina;no;NA;NA;NA;NA;40;50;65;90;124;146;175;215;253;NA;NA;NA;NA;NA;NA;NA;NA
VOBBIE;53;2;44.63599;8.98149;415;590;Vobbia a Vobbietta;Stura - Scrivia;si;NA;NA;NA;NA;132;164;212;294;404;477;571;699;825;VOBBI;44.63599;8.98149;318.44;2.3;2.5;3.5;10
